Escenari,Microservei,RPS_Mitjana,RPS_Max,P50_Mitjana_ms,P50_Max_ms,P95_Mitjana_ms,P95_Max_ms,P99_Mitjana_ms,P99_Max_ms,Errors_5xx_Max_RPS,CPU_Mitjana,CPU_Max,RAM_Mitjana,RAM_Max,Repliques_Mitjana,Repliques_Max,Cost_CPU_Min,Thrashing_Canvis_Abs
Escenari 4,paymentservice,2.12,4.07,541.2,607.6,938.9,960.8,977.5,992.2,0.0,15.6,46.9,91.8,142.7,1.26,2,0.038,2
Escenari 4,productcatalogservice,396.81,774.41,1.8,3.8,34.1,80.2,56.6,96.4,0.0,386.0,808.7,74.7,83.1,1.0,1,0.3,0
Escenari 4,recommendationservice,59.59,115.06,14.9,74.4,506.6,1886.5,769.0,2377.3,0.0,337.9,820.7,346.7,749.0,3.9,9,0.745,16
Escenari 4,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,58.0,48.6,49.5,1.0,1,0.21,0
Escenari 4,shippingservice,17.14,33.82,0.6,1.3,4.3,4.7,5.6,7.7,0.0,33.8,67.8,57.4,57.6,1.0,1,0.3,0
Escenari 5,adservice,18.75,38.53,3.5,5.1,71.0,162.4,116.5,232.5,0.0,84.9,162.9,164.3,245.3,1.0,1,0.2,0
Escenari 5,cartservice,31.64,61.09,2.9,3.0,10.3,28.1,104.1,351.4,0.0,142.4,364.6,215.9,452.6,1.74,2,0.147,1
Escenari 5,checkoutservice,1.09,2.35,1284.7,1444.4,2371.5,2394.4,2474.3,2478.9,0.0,21.0,47.9,62.7,78.5,1.04,1,0.083,0
Escenari 5,currencyservice,108.98,201.48,2.8,3.1,18.1,43.5,58.2,90.3,0.0,243.3,578.8,219.3,444.8,3.11,6,0.54,6
Escenari 5,emailservice,1.1,2.33,537.2,591.9,936.4,959.2,972.5,991.8,0.0,11.7,14.3,86.8,87.2,1.0,1,0.03,0
Escenari 5,frontend,32.3,65.13,41.6,63.4,295.4,415.7,1919.9,1973.3,0.0074,405.3,1041.9,151.8,241.5,1.81,3,0.958,2
Escenari 5,paymentservice,1.09,2.3,545.9,596.1,953.5,959.6,990.7,991.9,0.0,7.7,11.2,78.7,78.9,1.0,1,0.02,0
Escenari 5,productcatalogservice,135.06,282.26,0.3,0.4,4.3,5.1,9.1,23.5,0.0,162.4,401.1,74.7,83.0,1.0,1,0.2,0
Escenari 5,recommendationservice,20.67,41.61,3.1,3.2,8.0,19.0,54.3,187.9,0.0,69.7,148.5,117.6,171.5,1.3,2,0.16,3
Escenari 5,redis-cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,25.6,48.8,49.2,1.0,1,0.14,0
Escenari 5,shippingservice,8.77,17.75,0.3,0.3,3.7,4.2,4.7,4.8,0.0,17.8,34.4,57.8,58.5,1.0,1,0.2,0
